Location,Year,Series,Series Code,Permits
New Jersey,1980,Total Units,1,22270
New Jersey,1981,Total Units,1,20676
New Jersey,1982,Total Units,1,21297
New Jersey,1983,Total Units,1,35897
New Jersey,1984,Total Units,1,43787
New Jersey,1985,Total Units,1,55027
New Jersey,1986,Total Units,1,57353
New Jersey,1987,Total Units,1,51462
New Jersey,1988,Total Units,1,40909
New Jersey,1989,Total Units,1,30337
New Jersey,1990,Total Units,1,17524
New Jersey,1991,Total Units,1,14856
New Jersey,1992,Total Units,1,19072
New Jersey,1993,Total Units,1,25188
New Jersey,1994,Total Units,1,25388
New Jersey,1995,Total Units,1,21521
New Jersey,1996,Total Units,1,24173
New Jersey,1997,Total Units,1,28018
New Jersey,1998,Total Units,1,31345
New Jersey,1999,Total Units,1,31976
New Jersey,2000,Total Units,1,34585
New Jersey,2001,Total Units,1,28267
New Jersey,2002,Total Units,1,30441
New Jersey,2003,Total Units,1,32984
New Jersey,2004,Total Units,1,35936
New Jersey,2005,Total Units,1,38588
New Jersey,2006,Total Units,1,34323
New Jersey,2007,Total Units,1,25389
New Jersey,2008,Total Units,1,18363
New Jersey,2009,Total Units,1,12421
New Jersey,2010,Total Units,1,13535
New Jersey,2011,Total Units,1,12952
New Jersey,2012,Total Units,1,17939
New Jersey,2013,Total Units,1,24209
New Jersey,2014,Total Units,1,28155
New Jersey,2015,Total Units,1,30560
New Jersey,2016,Total Units,1,26793
New Jersey,2017,Total Units,1,28501
New Jersey,2018,Total Units,1,27942
New Jersey,2019,Total Units,1,36505
Middlesex County,1980,Total Units,1,2219
Middlesex County,1981,Total Units,1,2793
Middlesex County,1982,Total Units,1,3565
Middlesex County,1983,Total Units,1,6419
Middlesex County,1984,Total Units,1,7155
Middlesex County,1985,Total Units,1,7599
Middlesex County,1986,Total Units,1,5473
Middlesex County,1987,Total Units,1,4102
Middlesex County,1988,Total Units,1,3450
Middlesex County,1989,Total Units,1,3108
Middlesex County,1990,Total Units,1,1486
Middlesex County,1991,Total Units,1,1293
Middlesex County,1992,Total Units,1,1893
Middlesex County,1993,Total Units,1,2496
Middlesex County,1994,Total Units,1,2087
Middlesex County,1995,Total Units,1,2090
Middlesex County,1996,Total Units,1,2992
Middlesex County,1997,Total Units,1,3037
Middlesex County,1998,Total Units,1,2837
Middlesex County,1999,Total Units,1,3102
Middlesex County,2000,Total Units,1,2460
Middlesex County,2001,Total Units,1,1884
Middlesex County,2002,Total Units,1,1999
Middlesex County,2003,Total Units,1,2306
Middlesex County,2004,Total Units,1,2622
Middlesex County,2005,Total Units,1,3206
Middlesex County,2006,Total Units,1,2567
Middlesex County,2007,Total Units,1,1597
Middlesex County,2008,Total Units,1,1020
Middlesex County,2009,Total Units,1,1018
Middlesex County,2010,Total Units,1,1568
Middlesex County,2011,Total Units,1,1225
Middlesex County,2012,Total Units,1,1307
Middlesex County,2013,Total Units,1,1652
Middlesex County,2014,Total Units,1,1901
Middlesex County,2015,Total Units,1,2990
Middlesex County,2016,Total Units,1,2351
Middlesex County,2017,Total Units,1,2730
Middlesex County,2018,Total Units,1,2737
Middlesex County,2019,Total Units,1,3007
